docs_count  ,filer              ,avg_duration    ,PR     ,note
712         ,categories         ,0:00:00.264954  ,#3555  ,-
712         ,categories:drafts  ,0:00:00.188969  ,#3555  ,-
712         ,categories:finals  ,0:00:00.207445  ,#3555  ,-
7008        ,categories         ,0:00:01.416110  ,#3555  ,-
7008        ,categories:drafts  ,0:00:01.474370  ,#3555  ,-
7008        ,categories:finals  ,0:00:01.466851  ,#3555  ,-
14008       ,categories         ,0:00:04.123159  ,#3555  ,-
14008       ,categories:drafts  ,0:00:04.306970  ,#3555  ,-
14008       ,categories:finals  ,0:00:04.242760  ,#3555  ,-
712         ,categories         ,0:00:00.146675  ,#3614  ,-
712         ,categories:drafts  ,0:00:00.161375  ,#3614  ,-
712         ,categories:finals  ,0:00:00.175615  ,#3614  ,-
7008        ,categories         ,0:00:00.275420  ,#3614  ,-
7008        ,categories:drafts  ,0:00:00.343510  ,#3614  ,-
7008        ,categories:finals  ,0:00:00.392119  ,#3614  ,-
14008       ,categories         ,0:00:00.551765  ,#3614  ,-
14008       ,categories:drafts  ,0:00:00.692240  ,#3614  ,-
14008       ,categories:finals  ,0:00:00.832700  ,#3614  ,-
712         ,categories         ,0:00:00.072415  ,#3672  ,DocumentAuthors table (2x more db entries)
712         ,categories:drafts  ,0:00:00.081024  ,#3672  ,-
712         ,categories:finals  ,0:00:00.081195  ,#3672  ,-
7008        ,categories         ,0:00:00.116349  ,#3672  ,-
7008        ,categories:drafts  ,0:00:00.174726  ,#3672  ,-
7008        ,categories:finals  ,0:00:00.221865  ,#3672  ,-
14008       ,categories         ,0:00:00.189561  ,#3672  ,-
14008       ,categories:drafts  ,0:00:00.307680  ,#3672  ,-
14008       ,categories:finals  ,0:00:00.468149  ,#3672  ,-
712         ,categories         ,0:00:00.063385  ,#3622  ,wasm
712         ,categories:drafts  ,0:00:00.066660  ,#3622  ,-
712         ,categories:finals  ,0:00:00.071410  ,#3622  ,-
7008        ,categories         ,0:00:00.112590  ,#3622  ,-
7008        ,categories:drafts  ,0:00:00.160765  ,#3622  ,-
7008        ,categories:finals  ,0:00:00.216990  ,#3622  ,-
14008       ,categories         ,0:00:00.162824  ,#3622  ,-
14008       ,categories:drafts  ,0:00:00.278720  ,#3622  ,-
14008       ,categories:finals  ,0:00:00.439105  ,#3622  ,-
712         ,categories         ,0:00:00.069571  ,#3924  ,More Indexes and simpler CTE
712         ,categories:drafts  ,0:00:00.075321  ,#3924  ,-
712         ,categories:finals  ,0:00:00.085779  ,#3924  ,-
7008        ,categories         ,0:00:00.149835  ,#3924  ,-
7008        ,categories:drafts  ,0:00:00.181711  ,#3924  ,-
7008        ,categories:finals  ,0:00:00.203579  ,#3924  ,-
14008       ,categories         ,0:00:00.225034  ,#3924  ,-
14008       ,categories:drafts  ,0:00:00.340730  ,#3924  ,-
14008       ,categories:finals  ,0:00:00.433020  ,#3924  ,-